ID,Equipment,Status,Year of svc,aircraft speed,Effective Date,aircraft weight,hourly mileage pay,hourly weight pay,captain pay - day,captain pay - night,captain overseas pay,FO overseas pay,RP overseas pay,MBG overseas hours,MBG nav-aid hours,captain nav-aid pay,FO nav-aid pay,RP nav-aid pay,Hourly base pay,Hourly pay Day,Hourly pay Night,Mileage pay,Weight pay,Reg  HOURLY Rates Day,Reg  HOURLY Rates Night,Reg MINUTE Rates Day,Reg MINUTE Rates Night,DBM70,MBGBlockHolderHours70,MBGReserveHours70,MBGBlockHolderPay70,MBGReservePay70,DBM71,MBGBlockHolderHours71,MBGReserveHours71,MBGBlockHolderPay71,MBGReservePay71,DBM72,MBGBlockHolderHours72,MBGReserveHours72,MBGBlockHolderPay72,MBGReservePay72,DBM73,MBGBlockHolderHours73,MBGReserveHours73,MBGBlockHolderPay73,MBGReservePay73,DBM74,MBGBlockHolderHours74,MBGReserveHours74,MBGBlockHolderPay74,MBGReservePay74,DBM75,MBGBlockHolderHours75,MBGReserveHours75,MBGBlockHolderPay75,MBGReservePay75,DBM76,MBGBlockHolderHours76,MBGReserveHours76,MBGBlockHolderPay76,MBGReservePay76,DBM77,MBGBlockHolderHours77,MBGReserveHours77,MBGBlockHolderPay77,MBGReservePay77,DBM78,MBGBlockHolderHours78,MBGReserveHours78,MBGBlockHolderPay78,MBGReservePay78,DBM79,MBGBlockHolderHours79,MBGReserveHours79,MBGBlockHolderPay79,MBGReservePay79,DBM80,MBGBlockHolderHours80,MBGReserveHours80,MBGBlockHolderPay80,MBGReservePay80,DBM81,MBGBlockHolderHours81,MBGReserveHours81,MBGBlockHolderPay81,MBGReservePay81,DBM82,MBGBlockHolderHours82,MBGReserveHours82,MBGBlockHolderPay82,MBGReservePay82,DBM83,MBGBlockHolderHours83,MBGReserveHours83,MBGBlockHolderPay83,MBGReservePay83,DBM84,MBGBlockHolderHours84,MBGReserveHours84,MBGBlockHolderPay84,MBGReservePay84,DBM85,MBGBlockHolderHours85,MBGReserveHours85,MBGBlockHolderPay85,MBGReservePay85,Under5_FO_RP,EquipmentOrder,Overseas Pay,nav-aid pay,DBM,MBG_Block_Hr,MBG_Res_Hr,MBG_Block_Pay,MBG_Res_Pay
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,77,66,75,14085.71,15972.63
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,78,66,76,14085.71,16182.29
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,79,67,77,14295.37,16391.95
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,80,68,78,14505.02,16601.6
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,81,69,79,14714.68,16811.26
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,82,70,80,14924.34,17020.92
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,83,71,81,15134,17230.58
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,84,72,82,15343.66,17440.24
170,B-737 MAX,CA,2,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,24.06,93.7268,121.8453,56.9852,20.8268,195.5988,223.7173,3.25998,3.72862,70,60,68,12827.76,14505.02,71,60,69,12827.76,14714.68,72,63,70,13456.73,14924.34,73,63,71,13456.73,15134,74,63,72,13456.73,15343.66,75,64,73,13666.39,15553.31,76,65,74,13876.05,15762.97,77,66,75,14085.71,15972.63,78,66,76,14085.71,16182.29,79,67,77,14295.37,16391.95,80,68,78,14505.02,16601.6,81,69,79,14714.68,16811.26,82,70,80,14924.34,17020.92,83,71,81,15134,17230.58,84,72,82,15343.66,17440.24,85,73,83,15553.31,17649.89,,7,13.0048,11.8231,85,73,83,15553.31,17649.89
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,70,60,68,12952.57,14646.48
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,71,60,69,12952.57,14858.22
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,72,63,70,13587.79,15069.95
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,73,63,71,13587.79,15281.69
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,74,63,72,13587.79,15493.43
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,75,64,73,13799.52,15705.17
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,76,65,74,14011.26,15916.91
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,77,66,75,14223,16128.65
171,B-737 MAX,CA,3,0.82,2022-04-02,82.417,56.9852,20.8268,93.7268,121.8453,13.0048,7.0928,4.7289,10,10,11.8231,5.911,3.5461,26.14,93.7268,121.8453,56.9852,20.8268,197.6788,225.7973,3.29465,3.76329,70,60,68,12952.57,14646.48,71,60,69,12952.57,14858.22,72,63,70,13587.79,15069.95,73,63,71,13587.79,15281.69,74,63,72,13587.79,15493.43,75,64,73,13799.52,15705.17,76,65,74,14011.26,15916.91,77,66,75,14223,16128.65,78,66,76,14223,16340.38,79,67,77,14434.74,16552.12,80,68,78,14646.48,16763.86,81,69,79,14858.22,16975.6,82,70,80,15069.95,17187.34,83,71,81,15281.69,17399.07,84,72,82,15493.43,17610.81,85,73,83,15705.17,17822.55,,7,13.0048,11.8231,78,66,76,14223,16340.38
